id,title,view,likes,dislikes,rating,guestid
_kDKAOncclU,Joe Rogan Experience #1515 - Dr. Bradley Garrett,2820884,32766,2848,4.6801257,-1
wCSDF0RNuXY,Joe Rogan Experience #1514 - Joe De Sena,2069897,27754,3090,4.5992737,-1
gLJowTOkZVo,Joe Rogan Experience #1513 - Andrew Huberman,3887291,57096,2671,4.821239,-1
hl0iNRXcUbE,Joe Rogan Experience #1512 - Ben Shapiro,8567125,205607,21069,4.6282096,249
QOrOYUxzX3o,Joe Rogan Experience #1511 - Oliver Stone,3009849,50002,2922,4.7791548,17
Hc6pbG4wICA,Joe Rogan Experience #1510 - George Knapp & Jeremy Corbell,7006323,96249,5749,4.7745447,85
CtftWcgXjdg,Joe Rogan Experience #1509 - Abigail Shrier,2345035,44891,3395,4.7187591,-1
OK2zgeJLVwU,Joe Rogan Experience #1508 - Peter Schiff,2319615,38074,12203,4.0291386,-1
BY3CY36WAec,Joe Rogan Experience #1507 - Bob Saget,4195108,46037,5597,4.5664096,-1
VkaBfJ8SC_w,"Joe Rogan Experience - Fight Companion - July 11, 2020",2620082,41162,2161,4.8004756,-1
U5o9b2RVC2E,Joe Rogan Experience #1506 - James Nestor,2590243,37507,1773,4.8194499,-1
amyaoTtZaRE,Joe Rogan Experience #1505 - Hannibal Buress,3277441,42465,2892,4.7449565,99
NpOxxzOhZyg,Joe Rogan Experience #1504 - Alan Levinovitz,2176627,22812,2422,4.6160736,-1
VAoo7oXtyy4,Joe Rogan Experience #1503 - Josh Barnett,1977584,22182,1720,4.7121582,-1
MNvjRzcfcx0,Joe Rogan Experience #1502 - Russell Peters,3801821,36408,3438,4.6548715,104
FtNW3I1FZ5o,Joe Rogan Experience #1501 - James Lindsay,2656774,45977,2818,4.7689929,-1
cP0D2_jhqPU,Joe Rogan Experience #1500 - Barbara Freese,1643137,21415,6558,4.0622387,72
VmgYeeE31_8,Joe Rogan Experienced #1499 - Aron Snyder,1588739,17212,1803,4.6207204,-1
SXOUCRLW2UI,Joe Rogan Experience #1498 - Jon Stewart,3825465,73630,11445,4.4618864,-1
4me69rP0mPM,Joe Rogan Experience #1497 - Joe Schilling,1795685,20397,10380,3.6509407,-1
fgxaD7u28A4,Joe Rogan Experience #1496 - Colion Noir,3446825,67371,4605,4.7440815,59
U_yasKdeo8c,Joe Rogan Experience #1495 - Kyle Dunnigan,2462667,25315,2558,4.6329064,-1
pRCzZp1J0v0,Joe Rogan Experience #1494 - Bret Weinstein,7076599,116908,14941,4.5467238,43
MdLTWICADhM,Joe Rogan Experience #1493 - Steve Schirripa & Michael Imperioli,2576188,36313,1889,4.8022094,36
bL5RzI5LyVc,Joe Rogan Experience #1492 - Jocko Willink,6307788,111232,6752,4.7710876,143
GO_rW0Bvy1I,Joe Rogan Experience #1491 - Bill Burr,10081921,154943,6666,4.8350091,-1
j3sT8WpkDco,Joe Rogan Experience #1490 - Jimmy O Yang,2794779,37239,2723,4.7274408,-1
mi5OlUE3BLc,Joe Rogan Experience #1489 - Ronnie Coleman,3633591,83840,1918,4.9105392,-1
LimytC6bNZ0,Joe Rogan Experience #1488 - Andrew Schulz,6037371,85211,5990,4.7372837,58
xFEWPtIFTAg,JRE MMA Show #97 with Henry Cejudo,1913806,28770,1823,4.7616448,142
vUw8dqDHcB4,Joe Rogan Experience #1487 - Janet Zuccarini & Evan Funke,1286308,13485,2480,4.3786407,190
KqXYKjkVf9Q,Joe Rogan Experience #1486 - Honey Honey,1481250,19603,2973,4.4732461,54
eA9Tpf5Uuxs,Joe Rogan Experience #1485 - Krystal & Saagar,5834836,98250,8899,4.6677899,254
Mcle87Uvh8Y,Joe Rogan Experience #1484 - Reggie Watts,3301865,43594,4197,4.6487203,-1
TxEZcP5hmP8,Joe Rogan Experience #1483 - Jesus Trejo,1832632,18500,1766,4.6514359,65
vrCNpDigVxA,Joe Rogan Experience #1482 - Jordan Jonas,3758249,42434,2078,4.8132639,16
ICrqTmO3Eo4,JRE MMA Show #96 with Justin Gaethje & Trevor Wittman,3314250,43192,1868,4.8341765,-1
TvHqvYesr9M,Joe Rogan Experience #1481 - Adam Eget,1573793,18744,1792,4.6509542,-1
vzx6h2sAGTU,Joe Rogan Experience #1480 - Kevin Hart,8396278,160007,8373,4.8010926,118
Wf93nfm2U2o,Joe Rogan Experience #1479 - David Pakman,1853192,27150,15257,3.5608981,224
4-7O3fOXXKo,Joe Rogan Experience #1478 - Joel Salatin,2011516,34179,2399,4.7376566,-1
At4kjSXFr-U,Joe Rogan Experience #1477 - Tony Hawk,5386184,106411,3516,4.8720608,-1
KluBn073YjY,Joe Rogan Experience #1476 - Patton Oswalt,1264677,23133,25481,2.9034023,32
8m4XEPgkVOM,"Joe Rogan Experience - Fight Companion - May 16, 2020",3231575,47245,6012,4.5484538,-1
2LQFV0ct3X8,Joe Rogan Experience #1475 - Bridget Phetasy,1837976,18412,4940,4.15382,-1
4_ZJ8YDOX6g,Joe Rogan Experience #1474 - Dr. Rhonda Patrick,3679454,49355,3146,4.7603092,107
EToUmoEYGuU,Joe Rogan Experience #1473 - Tom Papa,2110037,20774,2557,4.5616131,-1
KdDPhoyypcg,Joe Rogan Experience #1472 - Michael Yo,2405249,28519,4688,4.4352999,-1
kyX2HaJSIco,JRE MMA Show #95 with Brendan Schaub,2496855,26737,7771,4.0992231,-1
wKaySfPomOI,Joe Rogan Experience #1471 - Tony Hinchcliffe,2033241,17340,2171,4.5549178,-1
RcYjXbSJBN8,Joe Rogan Experience #1470 - Elon Musk,18954750,416941,15953,4.852592,-1
EATOIfG2ISk,Joe Rogan Experience #1469 - Adam Perry Lang,1471717,12921,5482,3.8084552,164
2cOnu-HMmUk,Joe Rogan Experience #1468 - Alonzo Bodden,1682812,17077,2426,4.5024357,203
Ra4522ikFoU,Joe Rogan Experience #1467 - Jack Carr,2386530,23966,2117,4.675344,153
sqsBfhCbMjw,Joe Rogan Experience #1466 - Jessimae Peluso,2346486,24315,3775,4.4624419,-1
Cs_mDpIkUOY,Joe Rogan Experience #1465 - Tim Pool,6736630,104354,11069,4.6164021,-1
4YqZ08GxV1c,Joe Rogan Experience #1464 - Duncan Trussell,3417115,47745,2583,4.7947068,-1
CzqONHtFiHQ,Joe Rogan Experience #1463 - Tom Green,3961664,46277,3245,4.7378941,125
17pIBFcGB0k,Joe Rogan Experience #1462 - Kurt Metzger,1906533,19535,2344,4.5714612,21
mrNZUaaaEtI,Joe Rogan Experience #1461 - Owen Smith,1411080,15220,3562,4.2414012,10
IXFlwSr5u_k,Joe Rogan Experience #1460 - Donnell Rawlings,2854877,31729,3465,4.6061831,133
J36xPWBLcG8,Joe Rogan Experience #1459 - Tom O'Neill,3759865,57220,2350,4.8422027,7
98mh3jxcuxI,Joe Rogan Experience #1458 - Chris D'Elia,5062913,69892,4388,4.7637048,12
ig9yh8iVZWI,Joe Rogan Experience #1457 - Tim Dillon,2690004,32055,3558,4.6003709,202
